no,datetime,name,position,long,lat,narration,year,date,reg_country
20,"16.09.2010
2355 LT
Anchored
Boarded","Shamrock
Ro-Ro
Barbados
4654
9208435","18:34.1N –
072:31.5W,
Port Au Prince
Anchorage,
Haiti",-72.518056,18.566945,"Duty crew on the ship spotted one robber
armed with knife on the aft deck. Alarm
raised and the robber jumped overboard
and swam to a waiting boat and escaped.
On investigating itwas discovered that
ship‟s stores were stolen.",2010,2010-09-16,Barbados
22,"02.10.2010
0345 LT
Anchored
Boarded","Diamond Ocean
Bulk Carrier
Panama
19816
9338565","01:31.4S –
048:45.6W,
Vila Do Conde
Anchorage,
Brazil",-48.751667,-1.517778,"Five robbers in a wooden boat boarded
theshipatanchor.Theyattemptedto
steal ship‟s properties but
were noticed
bydutycrewwhoinformedbridge.
Alarm raised, ship‟s whistle sounded and
crewrushedtotheforecastle.Upon
seeingthecrewalertness,therobbers
escaped empty handed in their boat. Port
controlinformedbutreceivedno
response.",2010,2010-10-02,Panama
23,"07.10.2010
0440 UTC
Anchored
Boarded","Name Withheld
Chemical Tanker
Liberia
-
-","10:16.1N –
064:43.0W,
Puerto La Cruz
Tanker
Anchorage,
Venezuela",-64.716667,10.266945,"Threerobbersboardedthetankerat
anchor. The duty A/B who just took over
thewatchnoticedthattheforecastle
door'spadlockwasbrokenandhe
informedOOW.Alarmraised,crew
musteredandrushedtotheforecastle.
Uponseeingthecrewalertness,the
robbersjumpedoverboardandescaped
with ship's properties and stores in their
wooden boat. Port control informed and
theauthoritiesboardedthetankerfor
investigation.",2010,2010-10-07,Liberia
24,"15.10.2010
0500 LT
Anchored
Boarded","Bergen Arrow
General Cargo
Bahamas
25063
8130291","01:31.7S –
048:47.1W,
Vila Do Conde
Inner
Anchorage,
Brazil",-48.783611,-1.518611,"Three robbers boarded an anchored ship
viatheanchorchain.Decksecurity
watchman noticed a small boat near the
anchorchainandraisedthealarm.All
crew were mustered. Hearing the alarm
therobbersescapedemptyhanded.
Investigationcarriedoutindicatedthat
the robbers had managed to cut through
the forward store's padlock. All crew safe
and nothing stolen. Authorities and agent
were informed.",2010,2010-10-15,Bahamas
25,"30.10.2010
0100 LT
Anchored
Boarded","Kujawy
Bulk Carrier
Bahamas
24109
9285029","01:31.3S –
048:45.3W,
Vila Do Conde
Anchorage,
Brazil",-48.750833,-1.5175,"Four robbers armed with knives boarded
the ship at anchor. They took hostage a
dutywatchman,threatenedhimwith
knives and tied him up. They stole ship‟s
stores, and properties and lowered them
intotheirboat.Beforeescaping,the
robbers stole  the personal belongings of
the watchman and released him. The duty
watchmaninformedbridgewhoraised
the alarm and port authorities informed.",2010,2010-10-30,Bahamas
26,"03.11.2010
1906 LT
Anchored
Boarded","Leyla K
Tanker
Marshall Islands
63304
9430313","10:12.0N –
064:47.4W,
Bahia de
Barcelona
Anchorage,
Puerto Jose,
Venezuela",-64.784444,10.2,"Six robbers armed with knives boarded
an anchored tanker via the anchor chain.
The robbers threatened the duty A/B and
took his walkie talkie and other personal
belongings. The A/B managed to inform
thebridge.Alarmraisedandcrew
mustered.Therobbersescapedempty
handed. Port control informed.",2010,2010-11-03,Marshall Islands
28,"05.11.2010
0700 UTC
Anchored
Boarded","APL Bogota
Container
Antigua and
Barbuda
6704
9298612","09:58N –
083:00W,
Puerto Limon
Anchorage,
Costa Rica",-83.0,9.966667,"Robbers boarded the ship at anchor and
brokeopenthepaintlockerandstole
ship‟s stores.  When crew approached the
robbers,theyjumpedoverboardand
escaped.",2010,2010-11-05,Antigua and
31,"27.11.2010
0800 LT
Anchored
Boarded","Atlantic Rose
Chemical Tanker
Hong Kong
29266
9354911","10:16.6N –
064:42.4W,
Puerto La Cruz
Anchorage,
Venezuela",-64.701111,10.268334,"Six robbers in a small craft boarded the
tanker at anchor and broke the forward
store‟s padlock. Duty A/B raised alarm
and crew rushed to the forward deck. The
robbersescapedwiththestolenstores.
Port control informed.",2010,2010-11-27,Hong Kong
32,"03.12.2010
2355 LT
Anchored
Boarded","Rudolf Schepers
Container
Antigua and
Barbuda
40541
9431719","12:02S –
077:12W,
Callao
Anchorage No.1,
Peru",-77.2,-12.033333,"Four robbers wearing diving suits armed
withgunsandknivesboardedan
anchoredship.Theythreatenedthe
forward duty crew and tied him up. They
broketheforwardstore‟spadlockand
stoleship‟stores.Onseeinganother
watchmanapproaching,therobbers
escaped with the ship stores and property
and the duty crew‟s personal belongings.
Coast guard informed.",2010,2010-12-03,Antigua and
33,"23.12.2010
0430 LT
Steaming
Boarded","Vitruvius
Dredger
Luxemburg
1310
9485459","12:02.47S –
077:09.21W,
Callao
Anchorage Area,
Peru",-77.155833,-12.046389,"Four pirates in a small boat armed with
gunsandknivesapproachedadredger
from the port side. They started making a
lot of noise to attract the crews‟ attention.
Whilethecrewweredistractedpirates
from another boat on the starboard side
boarded the vessel. The pirates threatened
the security guard who approached them
andstolevessel‟sequipment.Local
authoritiesinformedandacoastguard
boat was despatched. Later, a naval patrol
vessel initially designated to protect the
dredgerarrivedatlocationand
commenced patrolling the area.",2010,2010-12-23,Luxemburg
1,"01.01.2010
1912 UTC
Steaming
Hijacked","Asian Glory
Vehicle Carrier
United Kingdom
44818
9070474","10:47N – 061:37E,
About 620NM
East of Somali
Coast,
Somalia",61.616667,10.783333,"Pirateshijackedashipunderwayand
tookher25crewmembershostage.
Piratesthensailedtheshiptoan
undisclosedlocationinSomalia.Itis
believed a ransom was paid for the safe
release of the crew and vessel",2010,2010-01-01,United Kingdom
2,"03.03.2010
0235 LT
Steaming
Hijacked","Sakoba
Fishing Vessel
Kenya
250
5011157","05:14S – 042:37E,
151 NM East of
Pemba Island
(Tanzania),
Off Somalia",42.616667,-5.233333,"Elevenpiratesinthreeskiffsarmed
with guns and RPG boarded the drifting
fishingvessel.Theytookhostage16
crewmembers and threatened to injure
or kill them if their instructionswere
not followed. The main intention of the
pirates was to use the fishing vessel to
hijack another vessel. The pirates stole
crew cash and personal belongings and
sailed the vessel with the skiffs in tow.
On 05.03.2010, 12 crewmembers were
transferredontoahijackedchemical
tankerwhiletheremainingfourcrew
were still held onboard. The crew and
the vessel were released on 19.07.2010
after a ransom was paid. Vessel arrived
atMombasaon24.07.2010.All
crewmembers are safe.",2010,2010-03-03,Kenya
3,"05.03.2010
0535 UTC
Steaming
Hijacked","UBT Ocean
Chemical Tanker
Marshall Islands
6149
9408360","09:35S – 044:18E,
680 NM South of
Mogadishu,
Somalia",44.3,-9.583333,"Armed pirates attacked and hijacked a
tanker underway. They took hostage her
21 crewmembers and sailed the ship to
an undisclosed place in Somalia. It is
believed a ransom was paid for release
of crew and vessel.",2010,2010-03-05,Marshall Islands
4,"23.03.2010
0137 UTC
Steaming
Hijacked","Frigia
Bulk Carrier
Malta
20352
7507485","11:41.53N –
066:05.38E, 670
NM East of
Socotra (1350 NM
Off Mogadishu),
Somalia",66.093889,11.698055,"Armedpiratesattacked,boardedand
hijacked the ship and took her 21 crew
hostage.It is believed a ransom was paid
forthesafereleaseofthecrewand
vessel.",2010,2010-03-23,Malta
5,"23.03.2010
1333 UTC
Steaming
Hijacked","Talca
Refrigerated Cargo
Bermuda
10298
8616324","17:28N – 056:42E,
20 NM East of
Khuriya Muriya
Islands (150 NM
ExN Of Salalah),
Off Somalia",56.7,17.466667,"Pirates attacked and hijacked the ship
underway and took hostage the 21 crew
members.  The vessel was released on
10.5.2010. It is believed a ransom was
paid for the safe release of the crew and
vessel.",2010,2010-03-23,Bermuda
7,"30.03.2010
-
Steaming
Hijacked","Jih Chun Tsai
No.68
Fishing Vessel
Taiwan
79
-","10:34N – 057:33E,
360 NM East of
Ras Hafun, (880
NM NE of
Mogadishu),
Somalia",57.55,10.566667,"Pirates boarded and hijacked the fishing
vessel andtookhostagethe14crew
members.Piratessailedandanchored
the vessel off the Somali coast.",2010,2010-03-30,Fishing Vessel
8,04.04.2010,Samho Dream,"08:21N – 065:00E,",65.0,8.35,"Pirates in skiffs attacked, boarded and",2010,2010-04-04,NA
9,"05.04.2010
0749 UTC
Steaming
Boarded","Taipan
Container
Germany
10965
9349174","12:23N – 060:21E,
1075 NM NE of
Mogadishu,
Somalia",60.35,12.383333,"Pirates in two skiffs boarded a container
shipunderway.Thecrewlocked
themselvesinasaferoomand
contactedauthoritiesforhelp.A
warshiparrivedatlocationand
boarding team boarded and rescued all
crew. Pirates were detained.",2010,2010-04-05,Germany
10,"07.04.2010
1212 UTC
Steaming
Boarded","Yasin C
Bulk Carrier
Turkey
22353
8208191","04:59S – 043:52E,
415 NM South of
Mogadishu,
Somalia",43.866667,-4.983333,"Pirates in skiffs chased, fired upon and
boarded the ship underway. The firing
ofautomaticweaponsand
RPG resulted in a fire breaking out on
thebridge.The25crewmembers
locked themselves in the engine room
for more than 24 hrs.  The pirates failed
to hijack the ship as they were unable to
enter into the engine room. Finally they
abandoned the ship. The crew members
regained control of their ship and safely
arrived at Mombasa port on 10.04.2010.
No injury to crew.",2010,2010-04-07,Turkey
11,"11.04.2010
0741 UTC
Steaming
Hijacked","Rak Afrikana
General Cargo
St. Vincent and
Grenadines
5992
8200553","04:45S – 051:00E,
530 NM SE of
Mogadishu,
Somalia",51.0,-4.75,"Armed pirates attacked and hijacked the
ship underway.",2010,2010-04-11,St. Vincent and
12,"18.04.2010
0200 UTC
Steaming
Hijacked","Prantalay 11
Fishing Vessel
Thailand
-
-","09:29N – 069:18E,
230 NM WNW of
Minicoy Island
(Indian Ocean),
Off Somalia",69.3,9.483333,"Armed pirates in skiffs opened fire on
the fishing vessel underway and ordered
hertostop.Piratesboardedand
hijackedthevesselandtookher26
crew members hostage.",2010,2010-04-18,Thailand
13,"18.04.2010
0200 UTC
Steaming
Hijacked","Prantalay 12
Fishing Vessel
Thailand
-
-","09:29N – 069:18E,
230 NM WNW of
Minicoy Island
(Indian Ocean),
Off Somalia",69.3,9.483333,"Armed pirates in skiffs opened fire on
the fishing vessel underway and ordered
hertostop.Piratesboardedand
hijackedthevesselandtookher25
crew members hostage.",2010,2010-04-18,Thailand
14,"18.04.2010
0200 UTC
Steaming
Hijacked","Prantalay 14
Fishing Vessel
Thailand
-
-","09:29N – 069:18E,
230 NM WNW of
Minicoy Island
(Indian Ocean),
Off Somalia",69.3,9.483333,"Armed pirates in skiffs opened fire on
the fishing vessel underway and ordered
hertostop.Piratesboardedand
hijackedthevesselandtookher26
crew members hostage.",2010,2010-04-18,Thailand
15,"05.05.2010
0400 UTC
Steaming
Boarded","Moscow
University
Tanker
Liberia
56076
9166417","12:15.7N –
059:30.2E,
300 NM East of
Suqutra Island
(Arabian Sea),
Off Somalia",59.500556,12.251944,"Pirates in a skiff chased and opened fire
on the tanker. The tanker made evasive
manoeuvres and contacted a warship for
help. Later, owners informed that they
had lost contact with the tanker and that
the ship was not moving. Thepirates
hadboardedandhijackedthetanker.
The crew had locked themselves in the
steeringgearroom.Laterawarship
arrived at the location and dispatched a
helicopter.  The boarding team landed
onboard the tanker and rescued all 23
crew members safely.  The pirates were
detained.Thetankersustainedsome
damages.Thewarshipescortedthe",2010,2010-05-05,Tanker
16,"06.05.2010
-
Steaming
Hijacked","Tai Yuan No. 227
Fishing Vessel
Taiwan
496
-","01:50N – 067:50E
(Indian Ocean),
Off Somalia",67.833333,1.833333,"Pirateshijackedthefishingvessel
underway. They took hostage 28 crew
membersandsailedthevesselto
Somali coast.",2010,2010-05-06,Taiwan
17,"12.05.2010
0556 LT
Steaming
Hijacked","Eleni P
Bulk Carrier
Liberia
37707
9128025","15:55N – 060:50E,
Around 285 NM
East of Kuria
Muriya Island,
Oman
(Arabian Sea),
Off Somalia",60.833333,15.916667,"Piratesboarded andhijackedtheship
along with her 23 crew. Pirates sailed
the ship towards Somali coast. The ship
wasreleasedon11.12.2010.Itis
believed a ransom was paid for the safe
release of the crew and ship.",2010,2010-05-12,Liberia
18,"25.09.2010
0315 UTC
Steaming
Boarded","Lugela
General Cargo
Panama
3120
8410380","07:24N
064:50E
(Indian Ocean),
Off Somalia",64.833333,7.4,"Heavily armed pirates boarded the ship
underway.  The crew members disabled
the ship‟s engine and locked themselves
inthesaferoom/citadel.Whenthe
piratescouldnotsailtheshipthey
damaged the ship‟s equipment, set the
bridgeonfireandabandonedthe
ship. Later the crew emerged from the
citadel,extinguishedthefireand
proceeded to a safe port.",2010,2010-09-25,Panama
19,"28.09.2010
2000 UTC
Steaming
Hijacked","Asphalt Venture
Bitumen Tanker
Panama
2967
8875798","07:07S – 041:02E
(Around 100 NM
SE of Dar Es
Salaam, Tanzania),
Off  Southern
Somalia",41.033333,-7.116667,"Armed pirates attacked and hijacked the
tanker underway. Tanker activated ship
security alert.",2010,2010-09-28,Panama
22,"09.10.2010
0645-1215
LT
Steaming
Hijacked","Golden Wave 305
Fishing Vessel
Kenya
241
-","01:40.0S –
041:43.2E (Off
Kiunga, Kenya),
Off Somalia",41.717223,-1.666667,"Pirates hijacked the fishing vessel and
took hostage its 43 crew members. Last
knownpositionofthefishingvessel
was 03:06S – 047:58E.",2010,2010-10-09,Kenya
20,"10.10.2010
1338 UTC
Steaming
Hijacked","Izumi
General Cargo
Panama
14162
9414955","03:28S – 040:49E
(Around 70 NM
off Mombasa,
Kenya),
Off Somalia",40.816667,-3.466667,"Armed pirates boarded and hijacked the
ship and took her crew as hostages.",2010,2010-10-10,Panama
21,"12.10.2010
1500 UTC
Steaming
Boarded","Ardmore Seafarer
Product Tanker
Marshall Islands
27969
9310161","08:11N –
067:56E
(Indian Ocean),
Off Somalia",67.933333,8.183333,"Piratesboardedthetankerunderway.
The21crewmemberslocked
themselves in the citadel.  When pirates
couldnotsailthetanker,they
abandonediton13.10.2010.Crew
members took command of the tanker
and resumed the voyage.",2010,2010-10-12,Marshall Islands
23,"23.10.2010
1235 UTC
Steaming
Hijacked","York
LPG Tanker
Singapore
4807
9220421","04:14S – 041:19E
(Approximately 98
NM East of
Mombasa, Kenya),
Off Somalia",41.316667,-4.233333,"Armed pirates attacked and hijacked the
tanker underway.",2010,2010-10-23,Singapore
24,"24.10.2010
0542 UTC
Steaming
Boarded","Beluga Fortune
General Cargo
Antigua and
Barbuda
9611
9402067","03:29N – 059:35E
(Indian Ocean),
Off Somalia",59.583333,3.483333,"Pirates armed with automatic weapons
and RPG attacked the ship and boarded
her. The crew members entered into the
saferoom/citadelandlocked
themselves from inside. They contacted
the authorities for assistance.  When the
piratescouldnotsailtheship,they
caused some damages to the ship before
abandoningher.Thenextday,the
master informed a warship that all crew",2010,2010-10-24,Antigua and
25,"26.10.2010
1805 LT
Steaming
Boarded","Maido
LPG Tanker
France
4201
9135779","08:20.2S –
040:42.4E (62 NM
from Jibondo
Island, Off
Tanzania),
Off Somalia",40.701111,-8.333889,"About five pirates heavily armed with
automatic weapons and RPG in a skiff
chasedandfireduponthetanker
underway.Thecrewcontactedthe
authorities and went into the citadel /
saferoom.Piratesboardedthetanker
butwereunabletosailit.Before
leaving the tanker, the pirates stole crew
personalbelongingsandcausedsome
damagestothevessel.Later,crew
retookcommandofthetankerand
sailed towards a safe port.  No injuries
to crew.",2010,2010-10-26,France
26,"28.10.2010
1156 UTC
Steaming
Hijacked","Al Nasser
Dhow
-
-
-","12:08N – 054:25E
(Vicinity of
Socotra Island,
Yemen), Off
Somalia",54.416667,12.133333,Pirates hijacked a Dhow.,2010,2010-10-28,-
27,"30.10.2010
0232 UTC
Steaming
Hijacked","Polar
Product Tanker
Panama
40690
9299563","12:12N – 064:53E,
633 NM East of
Socotra Island,
Off Somalia",64.883333,12.2,"Armed pirates in two skiffs boarded and
hijacked the tanker underway.",2010,2010-10-30,Panama
28,"30.10.2010
0512 UTC
Steaming
Boarded","Go Trader
Bulk Carrier
Malta
26062
9108116","15:06N – 055:58E
(Approximately
170 NM SE of
Salalah, Oman),
Off Somalia",55.966667,15.1,"Armed pirates attacked and boarded the
ship underway. The crew went into the
citadel and contacted the authorities for
assistance. The pirates could not sail the
ship as the crew were able to control the
shipfromthesaferoom.Later,the
piratesabandonedtheship.The
authorities boarded the ship and made a
thorough search. Finally, the crew took
command of the ship and sailed towards
a safe port.",2010,2010-10-30,Malta
29,"31.10.2010
0510 UTC
Steaming
Boarded","Sichem Pandora
Chemical Tanker
Malta
6544
9050412","09:57S – 042:19E
(Off Tanzania),
Off Somalia",42.316667,-9.95,"Armed pirates attacked and boarded a
chemical tanker. All crew retreated into
the citadel from where they had control
of ship. After 4hrs onboard the pirates
abandoned the ship and the crew took
command of the ship and sailed towards
a safe port.",2010,2010-10-31,Malta
30,"03.11.2010
-
Steaming
Hijacked","Aly Zoulfecar
-
Comoros
-","05:15.0S –
043:39.0E (Off
Mombasa, Kenya),
Off Somalia",43.65,-5.25,"Amerchantvesselwasreported
hijackedbypirates.Ninecrewand
twenty passengers were taken hostage.",2010,2010-11-03,Comoros
31,"11.11.2010
0435 UTC
Steaming
Hijacked","Hannibal II
Chemical Tanker
Panama
16284
8011756","11:26N – 066:05E
(Indian Ocean),
Off Somalia",66.083333,11.433333,"Piratesinskiffchasedthetanker
underway.  Pirates opened fire on her
andboarded.Pirateshijackedthe
tanker.",2010,2010-11-11,Panama
32,"11.11.2010
0045 UTC
Steaming
Boarded","BBC Orinoco
General Cargo
Antigua and
Barbuda
11864
9366110","17:13N – 065:01E
(Arabian Sea),
Off Somalia",65.016667,17.216667,"Armed pirates attacked and boarded the
shipunderwaywithintenttohijack.
The ship sent a distress message and all
crewmusteredatcitadel.Indian
authoritiesreceivedthemessageand
senttwowarshipsandmaritime
aircrafts to render assistance to the ship.
Thenavalboardingteamboardedthe
ship and rescued all the crewmembers
andconductedathoroughsearch.No
pirates were found onboard. The crew
tookcommandoftheshipand
continued the journey.",2010,2010-11-11,Antigua and
33,"12.11.2010
0701 UTC
Steaming
Hijacked","Yuan Xiang
General Cargo
Panama
14538
7609192","18:02.55N –
066:03.39E
(Arabian Sea),
Off Somalia",66.060833,18.048611,"Armed pirates attacked and boarded the
ship underway. They hijacked the ship
and took hostage 29 crewmembers. .",2010,2010-11-12,Panama
35,"20.11.2010
0824 UTC
Steaming
Boarded","Tai An Kou
Heavy Load Carrier
China
15840
9223277","20:30N – 060:01E
(Off Oman),
Off Somalia",60.016667,20.5,"Piratesarmedwithgunsboardedthe
heavy load carrier ship underway with
intenttohijack.Thecrewlocked
themselvesinthecitadel.On
21.11.2010aNavalboardingteam
rescuedthecrewandtheship.The
piratesescapedbeforetheboarding
team arrived onboard.",2010,2010-11-20,China
36,"21.11.2010
2145 UTC
Steaming
Boarded","Front Alfa
Tanker
Marshall Islands
79918
8914752","15:30N – 059:17E
(Arabian Sea),
Off Somalia",59.283333,15.5,"Armedpiratesinaskiffchasedand
boarded the tanker underway. The crew
lockedthemselvesinthecitadel.On
22.11.2010 pirates abandoned the ship.
The crew regained control of the ship.",2010,2010-11-21,Marshall Islands
37,"26.11.2010
0300 UTC
Steaming
Hijacked","Albedo
Container
Malaysia
10859
9041162","05:38N – 068:27E
(Around 255 NM
West of Maldives
Islands),
Off Somalia",68.45,5.633333,"Theshipwasreportedattackedby
armedpirates.Theytookhostage23
crewmembers and hijacked the ship.",2010,2010-11-26,Malaysia
38,"26.11.2010
1255 UTC
Steaming
Boarded","MCL Bremen
General Cargo
Antigua and
Barbuda
7138
9513622","09:39N – 067:23E
Around 950 NM
East of Raas
Xaafuun,
Somalia",67.383333,9.65,"Armed pirates attacked and boarded the
shipunderwaywithintenttohijack.
Master sent a distress message and all
crewmemberslockedthemselvesinto
the citadel from where they were able to
control the ship. Later, a naval boarding
team boarded the ship and rescued all
thecrewmembersandconducteda
thorough search. No pirates were found
onboard.",2010,2010-11-26,Antigua and
39,"27.11.2010
0901 UTC
Steaming
Boarded","26 Agustos
Bulk Carrier
Turkey
30303
9238478","13:43N – 056:49E
(Around 245 NM
SE of Salalah, Off
Oman),
Off Somalia",56.816667,13.716667,"Armed pirates attacked and boarded the
shipunderwaywithintenttohijack.
Master informed the authorities that all
crewmembershadlockedthemselves
into the citadel from where they were
able to control the ship. Unable to gain
fullcontroloftheship,thepirates
damagedsomebridgeequipmentand
lefttheship.Later,anavalboarding",2010,2010-11-27,Turkey
40,"05.12.2010
0942 UTC
Steaming
Hijacked","Jahan Moni
Bulk Carrier
Bangladesh
25600
9102954","08:10N – 071:43E
(Around 67 NM
West of Minicoy
Island, Indian
Ocean),
Off Somalia",71.716667,8.166667,"Abulkcarriershipwasreported
hijackedbysixarmedpiratesand26
crewmembers were taken hostage.",2010,2010-12-05,Bangladesh
41,"10.12.2010
1212 UTC
Steaming
Hijacked","MSC Panama
Container
Liberia
18000
8902125","09:57S – 041:46E
(Around 240 NM
SE of Dar Es
Salaam, Off
Tanzania),
Off Somalia",41.766667,-9.95,"Acontainershipwasattackedand
hijacked by armed pirates in two skiffs.
23 crewmembers were taken hostages.",2010,2010-12-10,Liberia
42,"11.12.2010
0540 UTC
Steaming
Hijacked","Renuar
Bulk Carrier
Panama
38520
9042221","06:09N – 067:19E
(Around 360 NM
SW of Minicoy
Island),
Off Somalia",67.316667,6.15,"PiratesarmedwithgunsandRPGin
skiffs chased, fired upon and boarded
the ship underway. They took hostage
24 crewmembers and hijacked the ship.",2010,2010-12-11,Panama
43,"20.12.2010
1129 UTC
Steaming
Hijacked","Orna
Bulk Carrier
Panama
17065
8312162","01:42S – 060:52E,
950 NM East of
Mogadishu,
Off Somalia",60.866667,-1.7,"Pirates attacked and hijacked the ship
andtookher19crewmembersas
hostage.Piratesaresailingtheship
towards Somalia.",2010,2010-12-20,Panama
44,"25.12.2010
0140 UTC
Steaming
Hijacked","Thor Nexus
General Cargo
Thailand
15520
8712491","16:01N – 060:12E
(380 NM East of
Salalah, Oman),
Off Somalia",60.2,16.016667,"Piratesboarded andhijackedtheship
underway with her 27 crew member as
hostage.",2010,2010-12-25,Thailand
45,"25.12.2010
1030 UTC
Steaming
Hijacked","Shiuh Fu No.1
Fishing Vessel
Taiwan
-
-","12:58S – 051:52E
(Around 120 NM
East of Nosy
Ankao,
Madagascar),
Off Somalia",51.866667,-12.966667,"Pirates hijacked the fishing vessel along
withher26crewmembers.A
previously hijacked merchant ship was
reported to be in the vicinity during the
hijacking of the fishing vessel.",2010,2010-12-25,Taiwan
46,"27.12.2010
0623 UTC
Steaming
Hijacked","EMS River
General Cargo
Antigua and
Barbuda
3500
9551662","18:10N – 057:50E
(Off Oman),
Off Somalia",57.833333,18.166667,"Piratesusingapreviouslyhijacked
tankerattackedandhijackedtheship
along with her eight crew.",2010,2010-12-27,Antigua and
47,"28.12.2010
-
Steaming
Hijacked","Vega 5
Fishing vessel
Mozambique
148
125","21:55S
035:36E
(Around 10 NM
NE Off Ilha
Magaruque,
Mozambique
Channel)
Off Somalia",35.6,-21.916667,"Pirates hijacked a fishing vessel and  14
crew.Ownersreportedthatahired
privateaircraftspottedthefishing
vessel on 31.12.2010 at position 14:28S
–
041:42E,headingnorthtowards
Somalia.",2010,2010-12-28,Mozambique
1,"01.01.2010
0930 UTC","Pramoni
Chemical Tanker","12:31N –
047:18E,",47.3,12.516667,"Pirates hijacked a tanker underway and
took her 24 crewmembers hostage. They",2010,2010-01-01,NA
2,"03.02.2010
0815 UTC
Steaming
Hijacked","Rim
General Cargo
North Korea
3493
7328554","13:04N –
047:04E,
Gulf of Aden",47.066667,13.066667,"Armedpiratesattackedandhijackeda
shipandtookher10crewmembers
hostage. On 02.06.2010 crew managed to
free the vessel from the pirates.  During
the struggle to free the vessel, one crew
was injured.  Vessel sailed away from the
area and was intercepted by a warship.
The 10 crew members of the MV Rim
were then embarked onboard the warship
as the vessel could not continue to sail
duetosevereengineproblems.The
warship arrived at Djibouti.  The crews
werelandedashoreonceadiplomatic
clearancewasgranted.TheMVRim
wasunmannedanddriftingsince
6.6.2010.Awarningtoshipswas
broadcast.",2010,2010-02-03,North Korea
3,"05.02.2010
0600 UTC
Steaming
Boarded","Ariella
Bulk Carrier
Antigua and
Barbuda
21195
8028864","13:00N –
048:45E,
Gulf of Aden",48.75,13.0,"Six pirates in a high-speed boat armed
withmachinegunsfireduponaship
underway.Shipraisedalarm,sent
mayday messages, contacted warship and
tookevasivemanoeuvres.Thepirates
managedtoboardtheshipusing
aluminiumladderwhilefiringatthe
bridge.Masterinformednavythatall
crewmusteredincitadelandlocked
down. A warship and helicopter arrived
to assist and military forces boarded the
ship. The pirates had aborted and left the
shipbeforethenavyboardedtheship.
All crewmembers are safe.",2010,2010-02-05,Antigua and
6,"29.03.2010
0930 LT
Steaming
Hijacked","Iceberg I
Ro-Ro
Panama
5402
7429102","13:15N –
046:40E,
10 NM Off
Yemeni Coast,
Gulf of Aden",46.666667,13.25,"Armedpiratesboardedandhijackeda
shipunderway.Theytookhostage24
crewmembers and sailed the ship towards
Somali coast.",2010,2010-03-29,Panama
7,"21.04.2010
0605 UTC
Steaming
Hijacked","VOC Daisy
Bulk Carrier
Panama
25807
9154555","16:25N –
057:13E,
170 NM SE of
Kuria Muria
Island (Oman),
Gulf of Aden",57.216667,16.416667,"Pirates in skiffs opened fire and hijacked
theshipunderway.Theytookthe21
crewmembers as hostage. The ship was
released on 17.10.2010.  It is believed a
ransom was paid for the safe release of
the crew and ship.",2010,2010-04-21,Panama
8,"08.05.2010
1206 UTC","Marida
Marguerite","14:58N –
054:47E,",54.783333,14.966667,"Armedpirateschased,attackedand
hijacked the tanker underway. They took",2010,2010-05-08,NA
9,"11.05.2010
1536 UTC
Steaming
Hijacked","Panega
Chemical Tanker
Bulgaria
4499
8511586","12:31N –
047:08E,
Gulf of Aden",47.133333,12.516667,"Pirates boarded and hijacked the tanker
along with her 15 crew. Pirates sailed the
tanker towards Somali coast. The tanker
was released on 09.09.2010. It is believed
a ransom was paid for the safe release of
the crew and tanker.",2010,2010-05-11,Bulgaria
11,"02.06.2010
0200 UTC
Steaming
Hijacked","QSM Dubai
General Cargo
Panama
9213
7610062","13:45N –
050:18E,
Gulf of Aden",50.3,13.75,"SixpiratesarmedwithgunsandRPG
hijacked the ship and took her 24 crew
membershostageandsailedtheship
towardsSomalicoast.On03.06.2010,
Somali soldiers intercepted the ship and
rescued the crew and ship after a fierce
gunbattlebetweenthesoldiersand
pirates.TheCaptainoftheMVQSM
Dubaiwaskilledduringtheshootout.
Thepiratesweredetained.TheSomali
soldiers remained onboard to escort the
ship to Somalia where the Captain‟s body
was landed.",2010,2010-06-02,Panama
12,"28.06.2010
0327 UTC
Steaming
Hijacked","Golden Blessing
Chemical Tanker
Singapore
9127
9539016","13:24N –
049:58E,
Gulf of Aden",49.966667,13.4,"Pirates attacked and hijacked the tanker
underway.Theysailedthetanker
towardsSomalicoastwhereitis
anchored.  Negotiations in progress. The
tanker was released on 05.11.2010.  It is
believed a ransom was paid for the safe
release of the crew and tanker.",2010,2010-06-28,Singapore
13,"04.07.2010
0944 UTC
Steaming
Hijacked","Motivator
Chemical Tanker
Marshall Islands
8539
9340386","13:16N –
042:56E,
Bab El Mandeb,
Red Sea",42.933333,13.266667,"Armed pirates attacked and hijacked the
tanker along with her 18 crew.",2010,2010-07-04,Marshall Islands
14,"02.08.2010
0420 UTC
Steaming
Hijacked","Suez
General Cargo
Panama
9277
8218720","13:02N –
048:54E,
Gulf of Aden",48.9,13.033333,"Piratesinthreeskiffsarmedwith
automaticweaponschasedandopened
fire on the ship. The pirates boarded and
hijackedtheshipandtook24
crewmembers as hostage.",2010,2010-08-02,Panama
